,Nombre,Nivel por defecto,Razón
1,Lista normal,,
2,Lista anidada,,
3,Lista con diccionario,,
4,List Comprehension normal,,
5,List Comprehension anidada,,
6,List Comprehension con if,,
7,Diccionario normal,,
8,Diccionario anidado,,
9,Diccionario de listas,,
10,Diccionario de diccionario de listas,,
11,Dict Comprehension normal,,
12,Dict Comprehension con if,,
13,Dict Comprehension con if-else,,
14,Dict Comprehension anidado ,,
15,Tupla normal,,
16,Tupla anidada,,
17,Ficheros → llamada ‘open’,,
18,Ficheros → llamada ‘write’,,
19,Ficheros → llamada ‘writelines’,,
20,Ficheros → llamada ‘read’,,
21,Ficheros → llamada ‘readline’,,
22,Print,,
23,Asignacion normal,,
24,Asignacion con suma (total = total + 1),,
25,Asignacion con incrementos simplificada (+=),,
26,If statements normal,,
27,If statements expresion (else),,
28,If statements → usando __name__ como __main__,,
29,sentencia ‘break’,,
30,sentencia ‘continue’,,
31,sentencia ‘pass’,,
32,bucle while normal,,
33,bucle while con else,,
34,bucle for normal,,
35,bucle for anidado,,
36,bucle for con tupla como nombre,,
37,bucle for con lista para iterar,,
38,bucle for con tupla par iterar,,
39,llamada ‘range’,,
40,llamada ‘zip’,,
41,llamada ‘map’,,
42,llamada ‘enumerate’,,
43,Funcion con argumento normal,,
44,Funcion con argumento por defecto,,
45,Funcion con argumento por *,,
46,Funcion con argumento por **,,
47,Funcion con argumento por Keyword-Only,,
48,Funciones recursivas,,
49,Return,,
50,Lambda,,
51,Generator function (yield),,
52,Generator expressions,,
53,Import,,
54,From normal,,
55,From relativo,,
56,From con *statements,,
57,'as ‘extension,,
58,Modulo ‘struct’,,
59,Modulo ‘pickle’,,
60,Modulo ‘shelve’,,
61,modulo ‘dbm’,,
62,modulo ‘re’,,
63,modulo ‘importlib’,,
64,Clase normal,,
65,Clase heredada,,
66,Uso del metodo constructor __init__ en clases,,
67,Descriptores ,,
68,Propiedades,,
69,Funcion privada de clase,,
70,Class method,,
71,Static method,,
72,Decorator function,,
73,Decorator class,,
74,Metaclass → creada con __new__ (3.X),,
75,Metaclass → creada en la cabecera de clase con ‘metaclass = ‘,,
76,Metaclass → creada como atributo (2.X) con __metaclass__,,
77,'Super’ function,,
78,declaracion de atributo __slots__,,
79,Atributo normal,,
80,Atributo especial de clase __class__,,
81,Atributo especial de clase __dict__,,
82,Excepcion → try/except,,
83,Excepcion → try/else/except,,
84,Excepcion → try/try,,
85,Excepcion → try/finally,,
86,Excepcion → try/except/finally,,
87,Excepcion → try/except/f/else/finally,,
88,Excepcion  ‘raise’,,
89,Excepcion ‘assert’,,
90,With,,
